a_id,q_id,predict_label,next_high_class,truth_label,prob_incorrect,prob_partial_correct,prob_correct
force.energy.1.358@test.com_Lab1_Q1,0,2,1,2,0.16186813,0.17000389,0.66812795
force.energy.1.640@test.com_Lab1_Q1,0,0,1,0,0.936599,0.058387116,0.0050138216
force.energy.1.196@test.com_Lab1_Q1,0,1,0,2,0.15418091,0.71954894,0.12627019
force.energy.1.409@test.com_Lab1_Q1,0,2,0,2,0.03543899,0.016562069,0.947999
force.energy.1.946@test.com_Lab1_Q1,0,2,0,2,0.046597764,0.033895794,0.9195065
force.energy.1.859@test.com_Lab1_Q1,0,2,1,2,0.014038325,0.04266106,0.9433006
force.energy.1.103@test.com_Lab1_Q1,0,2,0,2,0.09294128,0.034264505,0.8727943
force.energy.1.484@test.com_Lab1_Q1,0,2,1,2,0.04046354,0.31398118,0.6455553
force.energy.4.664@test.com_Lab1_Q1,0,2,0,2,0.16369541,0.017002985,0.8193016
force.energy.4.796@test.com_Lab1_Q1,0,2,0,2,0.03361526,0.012926081,0.9534586
force.energy.4.496@test.com_Lab1_Q1,0,2,0,2,0.34748474,0.17547049,0.47704476
force.energy.4.493@test.com_Lab1_Q1,0,0,1,0,0.65754014,0.3343871,0.008072678
pe.ke.1.931@test.com_Lab1_Q1,0,2,1,2,0.020157203,0.16953522,0.81030756
pe.ke.1.838@test.com_Lab1_Q1,0,2,0,2,0.04246517,0.009698226,0.94783664
pe.ke.1.529@test.com_Lab1_Q1,0,0,1,0,0.47938174,0.29616278,0.22445548
pe.ke.1.442@test.com_Lab1_Q1,0,2,0,2,0.06846372,0.009376585,0.9221597
pe.ke.1.853@test.com_Lab1_Q1,0,2,0,2,0.08620344,0.037399024,0.8763975
pe.ke.1.358@test.com_Lab1_Q1,0,2,0,2,0.025761373,0.018456211,0.9557824
pe.ke.2.487@test.com_Lab1_Q1,0,2,1,0,0.023152465,0.044453863,0.93239367
pe.ke.2.112@test.com_Lab1_Q1,0,2,0,2,0.053248744,0.03093697,0.9158143
pe.ke.2.211@test.com_Lab1_Q1,0,2,0,2,0.025256671,0.0057615754,0.9689818
pe.ke.2.607@test.com_Lab1_Q1,0,2,0,2,0.047392122,0.011115533,0.9414923
pe.ke.2.562@test.com_Lab1_Q1,0,2,1,2,0.011490995,0.140474,0.84803504
pe.ke.2.289@test.com_Lab1_Q1,0,2,1,2,0.015701678,0.053308804,0.93098944
pe.ke.2.574@test.com_Lab1_Q1,0,2,0,2,0.031142643,0.018100733,0.95075655
pe.ke.2.274@test.com_Lab1_Q1,0,2,0,2,0.028764443,0.007951923,0.9632836
pe.ke.2.556@test.com_Lab1_Q1,0,2,0,2,0.012514735,0.012397376,0.9750879
pe.ke.2.355@test.com_Lab1_Q1,0,2,0,2,0.017219685,0.0052447603,0.97753555
pe.ke.3.970@test.com_Lab1_Q1,0,2,1,2,0.056367286,0.21574646,0.72788626
pe.ke.4.904@test.com_Lab1_Q1,0,2,1,2,0.07880362,0.2587822,0.66241413
pe.ke.4.307@test.com_Lab1_Q1,0,2,0,2,0.2780909,0.07473539,0.64717364
pe.ke.4.841@test.com_Lab1_Q1,0,2,1,2,0.024792818,0.03536676,0.93984044
pe.ke.4.439@test.com_Lab1_Q1,0,2,0,2,0.048695292,0.033074867,0.9182298
pe.ke.4.109@test.com_Lab1_Q1,0,2,0,2,0.2407963,0.18203297,0.5771708
pe.ke.4.583@test.com_Lab1_Q1,0,2,0,2,0.024880828,0.009196784,0.96592236
pe.ke.4.238@test.com_Lab1_Q1,0,2,0,2,0.32234618,0.30978143,0.3678724
speed.mass.2.937@test.com_Lab1_Q1,0,1,0,2,0.3267334,0.39463478,0.27863184
speed.mass.2.991@test.com_Lab1_Q1,0,1,2,0,0.13269697,0.7130418,0.15426122
speed.mass.2.925@test.com_Lab1_Q1,0,2,0,2,0.33457303,0.13519563,0.53023136
speed.mass.2.934@test.com_Lab1_Q1,0,2,0,2,0.04352948,0.022450982,0.93401957
speed.mass.2.433@test.com_Lab1_Q1,0,2,0,0,0.0897041,0.04841435,0.86188155
speed.mass.2.874@test.com_Lab1_Q1,0,1,2,2,0.077474125,0.5641758,0.3583501
speed.mass.2.127@test.com_Lab1_Q1,0,2,1,2,0.07452745,0.24484591,0.6806267
speed.mass.2.571@test.com_Lab1_Q1,0,1,0,2,0.21052079,0.64189726,0.14758196
speed.mass.2.574@test.com_Lab1_Q1,0,2,1,2,0.023218552,0.03259186,0.9441896
speed.mass.2.859@test.com_Lab1_Q1,0,1,2,2,0.1574762,0.42805892,0.41446486
speed.mass.2.493@test.com_Lab1_Q1,0,1,2,0,0.097917534,0.7105798,0.19150262
speed.mass.3.289@test.com_Lab1_Q1,0,2,0,2,0.085076235,0.02446385,0.89045995
speed.mass.3.106@test.com_Lab1_Q1,0,2,1,1,0.03847045,0.17451118,0.7870183
speed.mass.3.784@test.com_Lab1_Q1,0,1,2,2,0.08519435,0.82619077,0.0886149
speed.mass.3.577@test.com_Lab1_Q1,0,2,0,1,0.046160925,0.0133236805,0.94051534
speed.mass.3.202@test.com_Lab1_Q1,0,2,0,2,0.05841725,0.008193957,0.9333888
speed.mass.3.736@test.com_Lab1_Q1,0,1,2,2,0.09227386,0.72462755,0.18309861
speed.mass.3.760@test.com_Lab1_Q1,0,2,0,2,0.085570276,0.014090683,0.900339
speed.mass.3.679@test.com_Lab1_Q1,0,2,1,2,0.02269135,0.08321373,0.89409494
speed.mass.3.931@test.com_Lab1_Q1,0,0,1,0,0.8134308,0.1281073,0.05846188
force.energy.1.358@test.com_Lab1_Q2,1,1,2,1,0.10363221,0.7391222,0.15724558
force.energy.1.196@test.com_Lab1_Q2,1,1,0,2,0.42610994,0.5378363,0.036053788
force.energy.1.409@test.com_Lab1_Q2,1,2,0,2,0.056002315,0.026377557,0.9176201
force.energy.1.946@test.com_Lab1_Q2,1,2,1,1,0.093722366,0.32987562,0.576402
force.energy.1.859@test.com_Lab1_Q2,1,1,2,1,0.06700141,0.7892569,0.14374171
force.energy.1.103@test.com_Lab1_Q2,1,0,1,0,0.65531546,0.28675434,0.057930205
force.energy.1.484@test.com_Lab1_Q2,1,1,0,1,0.47611296,0.494265,0.029622076
force.energy.4.664@test.com_Lab1_Q2,1,1,0,2,0.18174997,0.6761766,0.14207335
force.energy.4.796@test.com_Lab1_Q2,1,2,1,1,0.14674231,0.20608093,0.64717674
force.energy.4.496@test.com_Lab1_Q2,1,0,1,0,0.43412155,0.3565906,0.20928779
force.energy.4.493@test.com_Lab1_Q2,1,0,1,0,0.85167474,0.13888863,0.00943657
pe.ke.1.931@test.com_Lab1_Q2,1,2,1,1,0.047281418,0.3747286,0.57799
pe.ke.1.838@test.com_Lab1_Q2,1,2,1,2,0.015776526,0.2881822,0.6960413
pe.ke.1.529@test.com_Lab1_Q2,1,2,0,0,0.3122292,0.041664917,0.6461059
pe.ke.1.442@test.com_Lab1_Q2,1,0,1,0,0.9245438,0.0631451,0.01231105
pe.ke.1.853@test.com_Lab1_Q2,1,0,1,1,0.8949774,0.09168575,0.013336872
pe.ke.1.358@test.com_Lab1_Q2,1,2,1,1,0.03212363,0.043979593,0.9238968
pe.ke.2.487@test.com_Lab1_Q2,1,1,2,1,0.081458926,0.6961501,0.22239095
pe.ke.2.112@test.com_Lab1_Q2,1,2,1,1,0.038486883,0.2493892,0.71212393
pe.ke.2.211@test.com_Lab1_Q2,1,2,1,2,0.03398009,0.3660061,0.6000138
pe.ke.2.607@test.com_Lab1_Q2,1,2,1,0,0.113620214,0.2978937,0.5884861
pe.ke.2.562@test.com_Lab1_Q2,1,1,0,0,0.34486732,0.63506573,0.020066926
pe.ke.2.289@test.com_Lab1_Q2,1,2,1,1,0.012014924,0.032110948,0.95587415
pe.ke.2.574@test.com_Lab1_Q2,1,2,1,1,0.034007203,0.20654003,0.7594527
pe.ke.2.274@test.com_Lab1_Q2,1,2,0,1,0.09639914,0.018218989,0.8853819
pe.ke.2.556@test.com_Lab1_Q2,1,2,1,1,0.008855911,0.12980585,0.8613382
pe.ke.2.355@test.com_Lab1_Q2,1,2,1,1,0.015105477,0.025315104,0.95957947
pe.ke.3.970@test.com_Lab1_Q2,1,0,1,0,0.6651584,0.27447668,0.06036497
pe.ke.4.904@test.com_Lab1_Q2,1,0,1,0,0.9904873,0.0074300426,0.0020827777
pe.ke.4.307@test.com_Lab1_Q2,1,2,1,0,0.07457373,0.17299482,0.7524314
pe.ke.4.841@test.com_Lab1_Q2,1,2,1,1,0.05831766,0.42159623,0.5200861
pe.ke.4.439@test.com_Lab1_Q2,1,2,1,1,0.029497761,0.23840407,0.73209816
pe.ke.4.109@test.com_Lab1_Q2,1,1,0,0,0.305926,0.39194715,0.3021268
pe.ke.4.583@test.com_Lab1_Q2,1,1,0,1,0.17525794,0.7249269,0.099815264
pe.ke.4.238@test.com_Lab1_Q2,1,1,2,1,0.06750142,0.7151585,0.21734
speed.mass.2.937@test.com_Lab1_Q2,1,1,2,0,0.06300591,0.7161535,0.2208406
speed.mass.2.991@test.com_Lab1_Q2,1,1,2,1,0.09846066,0.8006389,0.100900404
speed.mass.2.925@test.com_Lab1_Q2,1,1,0,1,0.10029425,0.86655927,0.033146445
speed.mass.2.934@test.com_Lab1_Q2,1,1,2,1,0.04725344,0.8426511,0.1100954
speed.mass.2.433@test.com_Lab1_Q2,1,1,2,0,0.12429274,0.7316262,0.14408106
speed.mass.2.874@test.com_Lab1_Q2,1,1,2,1,0.071122095,0.5680302,0.3608478
speed.mass.2.127@test.com_Lab1_Q2,1,0,1,0,0.83244294,0.1566249,0.010932231
speed.mass.2.571@test.com_Lab1_Q2,1,2,1,1,0.084239475,0.33453435,0.58122617
speed.mass.2.574@test.com_Lab1_Q2,1,0,1,0,0.9229604,0.07282254,0.0042170654
speed.mass.2.859@test.com_Lab1_Q2,1,0,1,1,0.7879424,0.1596851,0.052372497
speed.mass.2.493@test.com_Lab1_Q2,1,1,0,0,0.20547292,0.76636094,0.028166156
speed.mass.3.289@test.com_Lab1_Q2,1,1,2,1,0.085978016,0.7368,0.17722201
speed.mass.3.106@test.com_Lab1_Q2,1,0,1,0,0.50394064,0.4385107,0.05754862
speed.mass.3.784@test.com_Lab1_Q2,1,1,0,1,0.13327707,0.7537569,0.11296604
speed.mass.3.577@test.com_Lab1_Q2,1,1,0,1,0.123157226,0.814774,0.06206882
speed.mass.3.202@test.com_Lab1_Q2,1,1,2,1,0.091957636,0.77605134,0.13199101
speed.mass.3.760@test.com_Lab1_Q2,1,0,1,0,0.46868566,0.4628912,0.06842312
speed.mass.3.679@test.com_Lab1_Q2,1,1,2,2,0.02785148,0.8262727,0.14587577
speed.mass.3.931@test.com_Lab1_Q2,1,0,1,0,0.97381973,0.018515565,0.0076647885
force.energy.1.358@test.com_Lab1_Q4,2,2,1,0,0.06792036,0.09145022,0.8406294
force.energy.1.640@test.com_Lab1_Q4,2,0,1,0,0.8741945,0.11643783,0.009367653
force.energy.1.196@test.com_Lab1_Q4,2,2,0,1,0.08440722,0.023217766,0.892375
