a_id,q_id,predict_label_SFRN,next_high_class_SFRN,predict_label_BERT,next_high_class_BERT,truth_label,prob_incorrect_SFRN,prob_partial_correct_SFRN,prob_correct_SFRN,prob_incorrect_BERT,prob_partial_correct_BERT,prob_correct_BERT
force.energy.1.358@test.com_Lab1_Q1,0,2,0,2,1,2,0.034805853,0.029714677,0.93547946,0.16186813,0.17000389,0.66812795
force.energy.1.640@test.com_Lab1_Q1,0,2,0,0,1,0,0.17521374,0.15232943,0.67245686,0.936599,0.058387116,0.005013822
force.energy.1.196@test.com_Lab1_Q1,0,2,0,1,0,2,0.05333585,0.047781322,0.8988828,0.15418091,0.71954894,0.12627019
force.energy.1.409@test.com_Lab1_Q1,0,2,0,2,0,2,0.055902712,0.049306594,0.89479065,0.03543899,0.016562069,0.947999
force.energy.1.946@test.com_Lab1_Q1,0,2,0,2,0,2,0.021928169,0.01727666,0.9607952,0.046597764,0.033895794,0.9195065
force.energy.1.859@test.com_Lab1_Q1,0,2,0,2,1,2,0.010636183,0.007754376,0.9816095,0.014038325,0.04266106,0.9433006
force.energy.1.103@test.com_Lab1_Q1,0,2,0,2,0,2,0.023154186,0.018578444,0.95826733,0.09294128,0.034264505,0.8727943
force.energy.1.484@test.com_Lab1_Q1,0,2,0,2,1,2,0.0308296,0.025620714,0.9435497,0.04046354,0.31398118,0.6455553
force.energy.4.664@test.com_Lab1_Q1,0,2,0,2,0,2,0.03405076,0.027405186,0.93854403,0.16369541,0.017002985,0.8193016
force.energy.4.796@test.com_Lab1_Q1,0,2,0,2,0,2,0.011779115,0.008634283,0.97958666,0.03361526,0.012926081,0.9534586
force.energy.4.496@test.com_Lab1_Q1,0,2,0,2,0,2,0.0364115,0.030989269,0.93259925,0.34748474,0.17547049,0.47704476
force.energy.4.493@test.com_Lab1_Q1,0,2,0,0,1,0,0.2926579,0.20432638,0.5030157,0.65754014,0.3343871,0.008072678
pe.ke.1.931@test.com_Lab1_Q1,0,2,0,2,1,2,0.038226005,0.03245813,0.92931587,0.020157203,0.16953522,0.81030756
pe.ke.1.838@test.com_Lab1_Q1,0,2,0,2,0,2,0.030392861,0.024766294,0.94484085,0.04246517,0.009698226,0.94783664
pe.ke.1.529@test.com_Lab1_Q1,0,2,0,0,1,0,0.31574625,0.22923501,0.4550188,0.47938174,0.29616278,0.22445548
pe.ke.1.442@test.com_Lab1_Q1,0,2,0,2,0,2,0.04048474,0.035020176,0.9244951,0.06846372,0.009376585,0.9221597
pe.ke.1.853@test.com_Lab1_Q1,0,2,0,2,0,2,0.022878185,0.018696032,0.95842576,0.08620344,0.037399024,0.8763975
pe.ke.1.358@test.com_Lab1_Q1,0,2,0,2,0,2,0.013842406,0.010583201,0.9755744,0.025761373,0.018456211,0.9557824
pe.ke.2.487@test.com_Lab1_Q1,0,2,1,2,1,0,0.13530321,0.1372856,0.7274112,0.023152465,0.044453863,0.93239367
pe.ke.2.112@test.com_Lab1_Q1,0,2,0,2,0,2,0.014023448,0.010803424,0.9751731,0.053248744,0.03093697,0.9158143
pe.ke.2.211@test.com_Lab1_Q1,0,2,0,2,0,2,0.016926413,0.013303787,0.96976984,0.025256671,0.005761575,0.9689818
pe.ke.2.607@test.com_Lab1_Q1,0,2,0,2,0,2,0.025163384,0.019903962,0.9549327,0.047392122,0.011115533,0.9414923
pe.ke.2.562@test.com_Lab1_Q1,0,2,0,2,1,2,0.017056681,0.013574187,0.9693691,0.011490995,0.140474,0.84803504
pe.ke.2.289@test.com_Lab1_Q1,0,2,0,2,1,2,0.032478906,0.027998883,0.93952227,0.015701678,0.053308804,0.93098944
pe.ke.2.574@test.com_Lab1_Q1,0,2,0,2,0,2,0.018545324,0.014592186,0.96686244,0.031142643,0.018100733,0.95075655
pe.ke.2.274@test.com_Lab1_Q1,0,2,0,2,0,2,0.01691197,0.013287253,0.9698008,0.028764443,0.007951923,0.9632836
pe.ke.2.556@test.com_Lab1_Q1,0,2,0,2,0,2,0.039192434,0.033766985,0.92704064,0.012514735,0.012397376,0.9750879
pe.ke.2.355@test.com_Lab1_Q1,0,2,0,2,0,2,0.01277386,0.009483357,0.9777428,0.017219685,0.00524476,0.97753555
pe.ke.3.970@test.com_Lab1_Q1,0,2,0,2,1,2,0.021498471,0.017207688,0.9612939,0.056367286,0.21574646,0.72788626
pe.ke.4.904@test.com_Lab1_Q1,0,2,0,2,1,2,0.020501615,0.016455589,0.96304274,0.07880362,0.2587822,0.66241413
pe.ke.4.307@test.com_Lab1_Q1,0,2,0,2,0,2,0.032560114,0.027271584,0.94016826,0.2780909,0.07473539,0.64717364
pe.ke.4.841@test.com_Lab1_Q1,0,2,0,2,1,2,0.011345623,0.008556955,0.9800975,0.024792818,0.03536676,0.93984044
pe.ke.4.439@test.com_Lab1_Q1,0,2,0,2,0,2,0.024044901,0.019702207,0.9562529,0.048695292,0.033074867,0.9182298
pe.ke.4.109@test.com_Lab1_Q1,0,2,0,2,0,2,0.015159033,0.011537879,0.9733031,0.2407963,0.18203297,0.5771708
pe.ke.4.583@test.com_Lab1_Q1,0,2,0,2,0,2,0.041603316,0.035512127,0.9228845,0.024880828,0.009196784,0.96592236
pe.ke.4.238@test.com_Lab1_Q1,0,2,0,2,0,2,0.035106994,0.029788176,0.9351048,0.32234618,0.30978143,0.3678724
speed.mass.2.937@test.com_Lab1_Q1,0,2,0,1,0,2,0.025533134,0.021015739,0.95345116,0.3267334,0.39463478,0.27863184
speed.mass.2.991@test.com_Lab1_Q1,0,2,0,1,2,0,0.037168507,0.033803593,0.92902786,0.13269697,0.7130418,0.15426122
speed.mass.2.925@test.com_Lab1_Q1,0,2,0,2,0,2,0.01609193,0.012312121,0.97159594,0.33457303,0.13519563,0.53023136
speed.mass.2.934@test.com_Lab1_Q1,0,2,0,2,0,2,0.022152849,0.017459372,0.96038777,0.04352948,0.022450982,0.93401957
speed.mass.2.433@test.com_Lab1_Q1,0,2,0,2,0,0,0.015574784,0.011956911,0.9724683,0.0897041,0.04841435,0.86188155
speed.mass.2.874@test.com_Lab1_Q1,0,2,0,1,2,2,0.016232839,0.012555722,0.9712115,0.077474125,0.5641758,0.3583501
speed.mass.2.127@test.com_Lab1_Q1,0,2,0,2,1,2,0.053057924,0.048589494,0.89835256,0.07452745,0.24484591,0.6806267
speed.mass.2.571@test.com_Lab1_Q1,0,2,0,1,0,2,0.0090007,0.00643997,0.98455936,0.21052079,0.64189726,0.14758196
speed.mass.2.574@test.com_Lab1_Q1,0,2,0,2,1,2,0.07345829,0.06632412,0.8602176,0.023218552,0.03259186,0.9441896
speed.mass.2.859@test.com_Lab1_Q1,0,2,0,1,2,2,0.015083498,0.011390145,0.97352636,0.1574762,0.42805892,0.41446486
speed.mass.2.493@test.com_Lab1_Q1,0,2,0,1,2,0,0.08529362,0.08269025,0.8320161,0.097917534,0.7105798,0.19150262
speed.mass.3.289@test.com_Lab1_Q1,0,2,0,2,0,2,0.032606944,0.02737668,0.9400163,0.085076235,0.02446385,0.89045995
speed.mass.3.106@test.com_Lab1_Q1,0,2,0,2,1,1,0.03218436,0.027063997,0.9407516,0.03847045,0.17451118,0.7870183
speed.mass.3.784@test.com_Lab1_Q1,0,2,0,1,2,2,0.013495224,0.010233227,0.9762715,0.08519435,0.82619077,0.0886149
speed.mass.3.577@test.com_Lab1_Q1,0,2,0,2,0,1,0.021032356,0.016774245,0.9621934,0.046160925,0.013323681,0.94051534
speed.mass.3.202@test.com_Lab1_Q1,0,2,0,2,0,2,0.016770199,0.012884843,0.97034496,0.05841725,0.008193957,0.9333888
speed.mass.3.736@test.com_Lab1_Q1,0,2,0,1,2,2,0.017668322,0.013888208,0.96844345,0.09227386,0.72462755,0.18309861
speed.mass.3.760@test.com_Lab1_Q1,0,2,0,2,0,2,0.026091808,0.021661503,0.9522467,0.085570276,0.014090683,0.900339
speed.mass.3.679@test.com_Lab1_Q1,0,2,0,2,1,2,0.020153876,0.015919553,0.9639266,0.02269135,0.08321373,0.89409494
speed.mass.3.931@test.com_Lab1_Q1,0,2,0,0,1,0,0.27989334,0.24996006,0.47014657,0.8134308,0.1281073,0.05846188
force.energy.1.358@test.com_Lab1_Q2,1,2,1,1,2,1,0.20199402,0.39071172,0.40729424,0.10363221,0.7391222,0.15724558
force.energy.1.196@test.com_Lab1_Q2,1,1,2,1,0,2,0.12712428,0.7058612,0.16701451,0.42610994,0.5378363,0.036053788
force.energy.1.409@test.com_Lab1_Q2,1,2,1,2,0,2,0.14357033,0.21373273,0.6426969,0.056002315,0.026377557,0.9176201
force.energy.1.946@test.com_Lab1_Q2,1,1,2,2,1,1,0.18111469,0.44559613,0.37328917,0.093722366,0.32987562,0.576402
force.energy.1.859@test.com_Lab1_Q2,1,2,1,1,2,1,0.17593446,0.2848292,0.53923637,0.06700141,0.7892569,0.14374171
force.energy.1.103@test.com_Lab1_Q2,1,1,2,0,1,0,0.18831798,0.5180816,0.2936004,0.65531546,0.28675434,0.057930205
force.energy.1.484@test.com_Lab1_Q2,1,1,2,1,0,1,0.15336156,0.6032229,0.24341556,0.47611296,0.494265,0.029622076
force.energy.4.664@test.com_Lab1_Q2,1,1,2,1,0,2,0.17661904,0.51950806,0.30387288,0.18174997,0.6761766,0.14207335
force.energy.4.796@test.com_Lab1_Q2,1,2,1,2,1,1,0.20774771,0.30299038,0.48926198,0.14674231,0.20608093,0.64717674
force.energy.4.496@test.com_Lab1_Q2,1,2,1,0,1,0,0.11806991,0.1449906,0.7369395,0.43412155,0.3565906,0.20928779
force.energy.4.493@test.com_Lab1_Q2,1,1,2,0,1,0,0.12536336,0.7440639,0.13057268,0.85167474,0.13888863,0.00943657
