a_id,q_id,predict_label_SFRN,next_high_class_SFRN,predict_label_BERT,next_high_class_BERT,truth_label,prob_incorrect_SFRN,prob_partial_correct_SFRN,prob_correct_SFRN,prob_incorrect_BERT,prob_partial_correct_BERT,prob_correct_BERT
speed.energy.3.175@test.com_Lab1_Q1,0,2,0,2,0,2,0.01522594,0.011471558,0.9733025,0.020774938,0.011725637,0.96749943
speed.energy.5.994@test.com_Lab1_Q1,0,2,0,2,1,2,0.028253589,0.022845311,0.94890106,0.013777794,0.013998361,0.9722239
speed.energy.5.910@test.com_Lab1_Q1,0,2,0,2,0,2,0.011739272,0.008681102,0.9795797,0.029273627,0.010408152,0.9603182
speed.energy.5.742@test.com_Lab1_Q1,0,2,0,2,1,2,0.009601055,0.006863314,0.98353565,0.023453249,0.2674229,0.7091239
speed.energy.5.724@test.com_Lab1_Q1,0,2,0,2,1,2,0.014228787,0.010734364,0.9750369,0.01776235,0.036132034,0.94610566
force.speed.1.133@test.com_Lab1_Q1,0,2,0,2,1,2,0.03496953,0.029873153,0.9351573,0.041438833,0.050818957,0.9077422
force.speed.1.169@test.com_Lab1_Q1,0,2,0,2,1,2,0.013593923,0.010308052,0.97609806,0.014699082,0.07903329,0.90626764
force.speed.1.544@test.com_Lab1_Q1,0,2,0,2,0,2,0.014661228,0.011305909,0.9740329,0.039748047,0.027301216,0.93295074
force.speed.1.244@test.com_Lab1_Q1,0,2,0,2,0,2,0.022241041,0.017929027,0.95982987,0.032471057,0.017865267,0.94966364
force.speed.1.409@test.com_Lab1_Q1,0,2,0,2,0,2,0.026104975,0.020602807,0.9532922,0.018495422,0.010327922,0.9711766
force.speed.1.760@test.com_Lab1_Q1,0,2,0,2,0,2,0.030603183,0.025337426,0.94405943,0.067864716,0.016205108,0.9159302
force.speed.1.109@test.com_Lab1_Q1,0,2,0,2,0,2,0.022459328,0.018026816,0.9595138,0.05230459,0.016763322,0.9309321
force.speed.2.439@test.com_Lab1_Q1,0,2,0,1,2,0,0.05451737,0.05093897,0.89454365,0.19059408,0.5467036,0.26270232
force.speed.2.787@test.com_Lab1_Q1,0,2,0,2,0,2,0.014487573,0.010864518,0.9746479,0.020446708,0.007791325,0.971762
force.speed.4.955@test.com_Lab1_Q1,0,2,0,2,0,2,0.014883632,0.011235595,0.9738808,0.03768131,0.013820935,0.9484978
force.speed.4.958@test.com_Lab1_Q1,0,2,0,2,1,2,0.017536258,0.013553464,0.9689103,0.032543454,0.034047432,0.93340915
force.energy.1.886@test.com_Lab1_Q1,0,2,0,2,0,2,0.022950485,0.018579748,0.95846975,0.033446457,0.008589354,0.9579642
force.energy.2.181@test.com_Lab1_Q1,0,2,0,2,1,2,0.009566248,0.006929063,0.98350465,0.01766577,0.09164149,0.8906927
force.energy.2.109@test.com_Lab1_Q1,0,2,0,2,0,2,0.031011652,0.02599831,0.94299,0.104638465,0.084420204,0.8109413
force.energy.2.271@test.com_Lab1_Q1,0,2,0,2,0,2,0.015758488,0.01214812,0.9720934,0.034878053,0.006848371,0.9582736
force.energy.3.607@test.com_Lab1_Q1,0,2,0,2,0,2,0.015576311,0.01219332,0.9722304,0.018989751,0.016774656,0.96423566
force.energy.3.823@test.com_Lab1_Q1,0,2,0,0,2,0,0.03838996,0.033396315,0.9282137,0.48015612,0.12791124,0.3919326
force.energy.3.205@test.com_Lab1_Q1,0,2,0,2,0,2,0.018069867,0.014102029,0.96782815,0.037764844,0.017683236,0.9445519
force.energy.3.550@test.com_Lab1_Q1,0,2,0,2,0,2,0.024824288,0.019904716,0.955271,0.19042848,0.02352481,0.78604674
pe.ke.2.613@test.com_Lab1_Q1,0,2,0,2,1,2,0.009457474,0.006920955,0.98362154,0.009056115,0.09102965,0.8999142
pe.ke.2.187@test.com_Lab1_Q1,0,2,0,2,1,2,0.018017909,0.014019693,0.9679624,0.006941893,0.019868327,0.9731898
pe.ke.2.592@test.com_Lab1_Q1,0,2,0,2,1,2,0.024015361,0.019398559,0.9565861,0.010115514,0.020432467,0.969452
pe.ke.2.322@test.com_Lab1_Q1,0,2,0,2,0,2,0.017460736,0.013584249,0.96895504,0.15216857,0.048789404,0.799042
pe.ke.2.877@test.com_Lab1_Q1,0,2,0,2,1,2,0.02776478,0.022715436,0.94951975,0.012858717,0.014026746,0.9731145
pe.ke.2.706@test.com_Lab1_Q1,0,2,0,2,0,2,0.022172736,0.01756029,0.96026695,0.030036245,0.017928518,0.95203525
pe.ke.2.547@test.com_Lab1_Q1,0,2,0,2,0,2,0.014113112,0.010655478,0.9752314,0.0503166,0.009396344,0.940287
pe.ke.3.652@test.com_Lab1_Q1,0,2,0,2,0,2,0.010101763,0.007345517,0.98255277,0.038507693,0.007477376,0.9540149
pe.ke.3.697@test.com_Lab1_Q1,0,2,0,2,1,2,0.016973753,0.013188949,0.9698373,0.010042734,0.13175337,0.8582038
pe.ke.3.223@test.com_Lab1_Q1,0,2,0,2,1,2,0.017440192,0.013795583,0.96876425,0.013846089,0.06309009,0.9230638
pe.ke.3.628@test.com_Lab1_Q1,0,2,0,2,0,2,0.010411385,0.007456452,0.9821322,0.031066628,0.006555605,0.9623777
pe.ke.3.145@test.com_Lab1_Q1,0,2,0,2,1,2,0.026197959,0.021698533,0.9521035,0.013903008,0.027101748,0.9589953
speed.mass.1.805@test.com_Lab1_Q1,0,2,0,2,0,2,0.010514325,0.00751931,0.9819664,0.032609764,0.008663259,0.958727
speed.mass.1.664@test.com_Lab1_Q1,0,2,0,2,0,2,0.0159362,0.01207863,0.97198516,0.10858576,0.030388517,0.8610257
speed.mass.1.775@test.com_Lab1_Q1,0,2,0,2,1,2,0.028517231,0.023650788,0.947832,0.01261169,0.11380245,0.8735858
speed.mass.2.616@test.com_Lab1_Q1,0,2,0,1,2,2,0.009958339,0.007265207,0.9827764,0.11871388,0.6578347,0.22345144
speed.mass.3.754@test.com_Lab1_Q1,0,2,0,2,0,1,0.037432536,0.03243103,0.9301364,0.037646934,0.031233646,0.93111944
speed.mass.3.586@test.com_Lab1_Q1,0,2,0,2,0,2,0.033100564,0.027265806,0.9396336,0.046541262,0.016475653,0.93698305
speed.mass.3.847@test.com_Lab1_Q1,0,2,0,2,0,2,0.026329227,0.021618601,0.9520522,0.19887304,0.025244396,0.77588254
speed.mass.3.715@test.com_Lab1_Q1,0,2,0,2,0,2,0.014062231,0.01074803,0.9751898,0.039187554,0.008275859,0.95253664
mass.force.5.712@test.com_Lab1_Q2,1,1,2,2,1,1,0.17380907,0.5820413,0.24414966,0.042248443,0.42196673,0.53578484
speed.energy.1.649@test.com_Lab1_Q2,1,1,2,1,0,1,0.15804805,0.53114617,0.31080577,0.19627611,0.68007004,0.12365382
speed.energy.2.196@test.com_Lab1_Q2,1,1,2,2,0,2,0.21760076,0.4032409,0.37915835,0.0806369,0.072879374,0.8464837
speed.energy.3.175@test.com_Lab1_Q2,1,1,2,1,2,2,0.16022593,0.49596393,0.34381014,0.033261783,0.5117124,0.45502588
speed.energy.5.994@test.com_Lab1_Q2,1,1,2,1,2,1,0.1796567,0.42469278,0.39565054,0.14976922,0.47676492,0.37346593
speed.energy.5.910@test.com_Lab1_Q2,1,2,1,1,2,2,0.1099914,0.21203749,0.67797107,0.050247222,0.7381516,0.21160115
speed.energy.5.742@test.com_Lab1_Q2,1,1,2,2,1,2,0.14803821,0.44294447,0.40901732,0.051354807,0.07224244,0.87640274
speed.energy.5.724@test.com_Lab1_Q2,1,1,2,0,1,0,0.14065653,0.64615846,0.213185,0.9497163,0.04398098,0.006302681
force.speed.1.133@test.com_Lab1_Q2,1,2,1,2,0,2,0.18308121,0.3885808,0.428338,0.1029183,0.033069555,0.8640122
force.speed.1.169@test.com_Lab1_Q2,1,2,1,2,1,2,0.15763713,0.33860075,0.5037621,0.022584649,0.12600647,0.85140884
force.speed.1.544@test.com_Lab1_Q2,1,1,2,1,2,0,0.169896,0.56051314,0.26959082,0.25017065,0.41416135,0.33566797
force.speed.1.244@test.com_Lab1_Q2,1,2,1,2,1,2,0.20765719,0.27441263,0.51793015,0.05087678,0.2257439,0.7233794
force.speed.1.409@test.com_Lab1_Q2,1,2,1,2,0,2,0.1687917,0.37726277,0.45394552,0.08761408,0.087292716,0.8250932
force.speed.1.760@test.com_Lab1_Q2,1,2,1,1,2,2,0.11905663,0.16489676,0.71604663,0.12292603,0.5629142,0.31415975
force.speed.1.109@test.com_Lab1_Q2,1,1,2,2,1,1,0.18256603,0.4375999,0.3798341,0.043788284,0.17449181,0.78171986
force.speed.2.439@test.com_Lab1_Q2,1,1,2,0,1,1,0.11248293,0.74330866,0.14420834,0.86344695,0.11561367,0.02093948
force.speed.2.787@test.com_Lab1_Q2,1,2,1,2,1,2,0.1869747,0.26943392,0.5435914,0.03750307,0.042822458,0.91967446
force.speed.4.955@test.com_Lab1_Q2,1,1,0,1,0,1,0.26167825,0.5717428,0.16657902,0.41001147,0.50440544,0.085583076
force.speed.4.958@test.com_Lab1_Q2,1,1,2,2,1,1,0.21332252,0.42028558,0.3663919,0.042417258,0.15294048,0.80464226
force.energy.1.886@test.com_Lab1_Q2,1,1,2,1,2,0,0.21875381,0.5412327,0.24001347,0.13350694,0.5469597,0.31953344
force.energy.2.181@test.com_Lab1_Q2,1,1,2,2,1,1,0.1584434,0.54493123,0.29662538,0.04843958,0.4175948,0.53396565
force.energy.2.109@test.com_Lab1_Q2,1,1,2,1,2,2,0.19352265,0.4367648,0.36971247,0.20218053,0.45530072,0.34251872
force.energy.2.271@test.com_Lab1_Q2,1,1,2,1,2,1,0.24616018,0.4994206,0.2544192,0.07355509,0.53949857,0.38694635
